Date,Sales
2023-01-01 00:00:00,105.16
2023-01-02 00:00:00,143.76
2023-01-03 00:00:00,154.51
2023-01-04 00:00:00,105.74
2023-01-05 00:00:00,43.2
2023-01-06 00:00:00,53.25
2023-01-07 00:00:00,111.9
2023-01-08 00:00:00,154.33
2023-01-09 00:00:00,185.08
2023-01-10 00:00:00,185.58
2023-01-11 00:00:00,121.73
2023-01-12 00:00:00,51.81
2023-01-13 00:00:00,104.57
2023-01-14 00:00:00,114.53
2023-01-15 00:00:00,131.62
2023-01-16 00:00:00,201.12
2023-01-17 00:00:00,175.75
2023-01-18 00:00:00,140.75
2023-01-19 00:00:00,79.88
2023-01-20 00:00:00,101.44
2023-01-21 00:00:00,147.28
2023-01-22 00:00:00,190.96
2023-01-23 00:00:00,195.46
2023-01-24 00:00:00,227.14
2023-01-25 00:00:00,166.7
2023-01-26 00:00:00,132.32
2023-01-27 00:00:00,138.82
2023-01-28 00:00:00,170.81
2023-01-29 00:00:00,208.97
2023-01-30 00:00:00,222.06
2023-01-31 00:00:00,226.54
2023-02-01 00:00:00,165.71
2023-02-02 00:00:00,119.53
2023-02-03 00:00:00,141.52
2023-02-04 00:00:00,167.97
2023-02-05 00:00:00,224.22
2023-02-06 00:00:00,277.63
2023-02-07 00:00:00,241.67
2023-02-08 00:00:00,190.81
2023-02-09 00:00:00,146.99
2023-02-10 00:00:00,173.34
2023-02-11 00:00:00,211.53
2023-02-12 00:00:00,250.75
2023-02-13 00:00:00,256.09
2023-02-14 00:00:00,278.43
2023-02-15 00:00:00,218.41
2023-02-16 00:00:00,194.02
2023-02-17 00:00:00,190.2
2023-02-18 00:00:00,230.17
2023-02-19 00:00:00,248.81
2023-02-20 00:00:00,298.54
2023-02-21 00:00:00,317.06
2023-02-22 00:00:00,239.81
2023-02-23 00:00:00,181.79
2023-02-24 00:00:00,209.68
2023-02-25 00:00:00,238.41
2023-02-26 00:00:00,283.47
2023-02-27 00:00:00,313.11
2023-02-28 00:00:00,320.12
2023-03-01 00:00:00,266.36
2023-03-02 00:00:00,236.03
2023-03-03 00:00:00,231.02
2023-03-04 00:00:00,259.03
2023-03-05 00:00:00,312.9
2023-03-06 00:00:00,347.0
2023-03-07 00:00:00,342.39
2023-03-08 00:00:00,297.77
2023-03-09 00:00:00,236.43
2023-03-10 00:00:00,243.34
2023-03-11 00:00:00,299.14
2023-03-12 00:00:00,324.96
2023-03-13 00:00:00,345.92
2023-03-14 00:00:00,361.64
2023-03-15 00:00:00,309.8
2023-03-16 00:00:00,277.62
2023-03-17 00:00:00,280.48
2023-03-18 00:00:00,332.93
2023-03-19 00:00:00,378.14
2023-03-20 00:00:00,409.83
2023-03-21 00:00:00,392.27
2023-03-22 00:00:00,323.51
2023-03-23 00:00:00,288.63
2023-03-24 00:00:00,302.26
2023-03-25 00:00:00,344.29
2023-03-26 00:00:00,390.41
2023-03-27 00:00:00,410.95
2023-03-28 00:00:00,419.06
2023-03-29 00:00:00,349.52
2023-03-30 00:00:00,316.48
2023-03-31 00:00:00,313.29
2023-04-01 00:00:00,364.55
2023-04-02 00:00:00,411.0
2023-04-03 00:00:00,447.88
2023-04-04 00:00:00,440.09
2023-04-05 00:00:00,380.0
2023-04-06 00:00:00,324.71
2023-04-07 00:00:00,359.86
2023-04-08 00:00:00,387.6
2023-04-09 00:00:00,457.08
2023-04-10 00:00:00,466.82
2023-04-11 00:00:00,448.98
2023-04-12 00:00:00,397.64
2023-04-13 00:00:00,357.29
2023-04-14 00:00:00,375.99
2023-04-15 00:00:00,422.38
2023-04-16 00:00:00,471.19
2023-04-17 00:00:00,483.99
2023-04-18 00:00:00,490.71
2023-04-19 00:00:00,421.28
2023-04-20 00:00:00,379.84
2023-04-21 00:00:00,392.23
2023-04-22 00:00:00,442.23
2023-04-23 00:00:00,491.54
2023-04-24 00:00:00,505.77
2023-04-25 00:00:00,503.7
2023-04-26 00:00:00,461.18
2023-04-27 00:00:00,422.84
2023-04-28 00:00:00,425.48
2023-04-29 00:00:00,460.59
2023-04-30 00:00:00,511.03
2023-05-01 00:00:00,535.8
2023-05-02 00:00:00,534.34
2023-05-03 00:00:00,471.43
2023-05-04 00:00:00,432.54
2023-05-05 00:00:00,449.19
2023-05-06 00:00:00,490.23
2023-05-07 00:00:00,532.74
2023-05-08 00:00:00,551.98
2023-05-09 00:00:00,560.71
2023-05-10 00:00:00,487.6
2023-05-11 00:00:00,457.06
2023-05-12 00:00:00,457.75
2023-05-13 00:00:00,523.59
2023-05-14 00:00:00,551.48
2023-05-15 00:00:00,582.49
2023-05-16 00:00:00,562.96
2023-05-17 00:00:00,511.23
2023-05-18 00:00:00,480.96
2023-05-19 00:00:00,491.73
2023-05-20 00:00:00,533.4
2023-05-21 00:00:00,577.63
2023-05-22 00:00:00,585.34
2023-05-23 00:00:00,591.95
2023-05-24 00:00:00,528.98
2023-05-25 00:00:00,490.86
2023-05-26 00:00:00,493.43
2023-05-27 00:00:00,532.84
2023-05-28 00:00:00,569.83
2023-05-29 00:00:00,601.52
2023-05-30 00:00:00,1217.47
2023-05-31 00:00:00,556.74
2023-06-01 00:00:00,516.14
2023-06-02 00:00:00,521.84
2023-06-03 00:00:00,568.08
2023-06-04 00:00:00,610.16
2023-06-05 00:00:00,643.08
2023-06-06 00:00:00,637.38
2023-06-07 00:00:00,573.08
2023-06-08 00:00:00,542.48
2023-06-09 00:00:00,551.41
2023-06-10 00:00:00,589.6
2023-06-11 00:00:00,634.42
2023-06-12 00:00:00,653.27
2023-06-13 00:00:00,655.8
2023-06-14 00:00:00,594.13
2023-06-15 00:00:00,561.45
2023-06-16 00:00:00,560.85
2023-06-17 00:00:00,615.11
2023-06-18 00:00:00,655.22
2023-06-19 00:00:00,683.08
2023-06-20 00:00:00,681.42
2023-06-21 00:00:00,616.51
2023-06-22 00:00:00,580.82
